"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2013"	"2013"	"Feb., 2013"	"2013/02"	4147	Not Applicable	Not Applicable
	"Alabama"	"01"	"2013"	"2013"	"Mar., 2013"	"2013/03"	4548	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"2013"	"2013"			8695	Not Applicable	Not Applicable
	"Alabama"	"01"	"2014"	"2014"	"Feb., 2014"	"2014/02"	3966	Not Applicable	Not Applicable
	"Alabama"	"01"	"2014"	"2014"	"Mar., 2014"	"2014/03"	4288	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"2014"	"2014"			8254	Not Applicable	Not Applicable
	"Alabama"	"01"	"2015"	"2015"	"Feb., 2015"	"2015/02"	4447	Not Applicable	Not Applicable
	"Alabama"	"01"	"2015"	"2015"	"Mar., 2015"	"2015/03"	4809	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"2015"	"2015"			9256	Not Applicable	Not Applicable
	"Alabama"	"01"	"2016"	"2016"	"Feb., 2016"	"2016/02"	4428	Not Applicable	Not Applicable
	"Alabama"	"01"	"2016"	"2016"	"Mar., 2016"	"2016/03"	4592	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"2016"	"2016"			9020	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Feb., 2017"	"2017/02"	4338	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Mar., 2017"	"2017/03"	4692	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"2017"	"2017"			9030	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Feb., 2018"	"2018/02"	4522	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Mar., 2018"	"2018/03"	4660	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"2018"	"2018"			9182	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"					53437	Not Applicable	Not Applicable
	"Alaska"	"02"	"2013"	"2013"	"Feb., 2013"	"2013/02"	309	Not Applicable	Not Applicable
	"Alaska"	"02"	"2013"	"2013"	"Mar., 2013"	"2013/03"	377	Not Applicable	Not Applicable
"Total"	"Alaska"	"02"	"2013"	"2013"			686	Not Applicable	Not Applicable
	"Alaska"	"02"	"2014"	"2014"	"Feb., 2014"	"2014/02"	295	Not Applicable	Not Applicable
	"Alaska"	"02"	"2014"	"2014"	"Mar., 2014"	"2014/03"	327	Not Applicable	Not Applicable
"Total"	"Alaska"	"02"	"2014"	"2014"			622	Not Applicable	Not Applicable
	"Alaska"	"02"	"2015"	"2015"	"Feb., 2015"	"2015/02"	345	Not Applicable	Not Applicable
	"Alaska"	"02"	"2015"	"2015"	"Mar., 2015"	"2015/03"	351	Not Applicable	Not Applicable
"Total"	"Alaska"	"02"	"2015"	"2015"			696	Not Applicable	Not Applicable
	"Alaska"	"02"	"2016"	"2016"	"Feb., 2016"	"2016/02"	335	Not Applicable	Not Applicable
	"Alaska"	"02"	"2016"	"2016"	"Mar., 2016"	"2016/03"	384	Not Applicable	Not Applicable
"Total"	"Alaska"	"02"	"2016"	"2016"			719	Not Applicable	Not Applicable
	"Alaska"	"02"	"2017"	"2017"	"Feb., 2017"	"2017/02"	300	Not Applicable	Not Applicable
	"Alaska"	"02"	"2017"	"2017"	"Mar., 2017"	"2017/03"	391	Not Applicable	Not Applicable
"Total"	"Alaska"	"02"	"2017"	"2017"			691	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Feb., 2018"	"2018/02"	337	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Mar., 2018"	"2018/03"	361	Not Applicable	Not Applicable
"Total"	"Alaska"	"02"	"2018"	"2018"			698	Not Applicable	Not Applicable
"Total"	"Alaska"	"02"					4112	Not Applicable	Not Applicable
	"Arizona"	"04"	"2013"	"2013"	"Feb., 2013"	"2013/02"	4444	Not Applicable	Not Applicable
	"Arizona"	"04"	"2013"	"2013"	"Mar., 2013"	"2013/03"	4566	Not Applicable	Not Applicable
"Total"	"Arizona"	"04"	"2013"	"2013"			9010	Not Applicable	Not Applicable
	"Arizona"	"04"	"2014"	"2014"	"Feb., 2014"	"2014/02"	4256	Not Applicable	Not Applicable
	"Arizona"	"04"	"2014"	"2014"	"Mar., 2014"	"2014/03"	4365	Not Applicable	Not Applicable
"Total"	"Arizona"	"04"	"2014"	"2014"			8621	Not Applicable	Not Applicable
	"Arizona"	"04"	"2015"	"2015"	"Feb., 2015"	"2015/02"	4292	Not Applicable	Not Applicable
	"Arizona"	"04"	"2015"	"2015"	"Mar., 2015"	"2015/03"	4822	Not Applicable	Not Applicable
"Total"	"Arizona"	"04"	"2015"	"2015"			9114	Not Applicable	Not Applicable
	"Arizona"	"04"	"2016"	"2016"	"Feb., 2016"	"2016/02"	5142	Not Applicable	Not Applicable
	"Arizona"	"04"	"2016"	"2016"	"Mar., 2016"	"2016/03"	5392	Not Applicable	Not Applicable
"Total"	"Arizona"	"04"	"2016"	"2016"			10534	Not Applicable	Not Applicable
	"Arizona"	"04"	"2017"	"2017"	"Feb., 2017"	"2017/02"	4521	Not Applicable	Not Applicable
	"Arizona"	"04"	"2017"	"2017"	"Mar., 2017"	"2017/03"	5074	Not Applicable	Not Applicable
"Total"	"Arizona"	"04"	"2017"	"2017"			9595	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	"Feb., 2018"	"2018/02"	4830	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	"Mar., 2018"	"2018/03"	5363	Not Applicable	Not Applicable
"Total"	"Arizona"	"04"	"2018"	"2018"			10193	Not Applicable	Not Applicable
"Total"	"Arizona"	"04"					57067	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2013"	"2013"	"Feb., 2013"	"2013/02"	2581	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2013"	"2013"	"Mar., 2013"	"2013/03"	2784	Not Applicable	Not Applicable
"Total"	"Arkansas"	"05"	"2013"	"2013"			5365	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2014"	"2014"	"Feb., 2014"	"2014/02"	2542	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2014"	"2014"	"Mar., 2014"	"2014/03"	2694	Not Applicable	Not Applicable
"Total"	"Arkansas"	"05"	"2014"	"2014"			5236	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2015"	"2015"	"Feb., 2015"	"2015/02"	2754	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2015"	"2015"	"Mar., 2015"	"2015/03"	2786	Not Applicable	Not Applicable
"Total"	"Arkansas"	"05"	"2015"	"2015"			5540	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2016"	"2016"	"Feb., 2016"	"2016/02"	2529	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2016"	"2016"	"Mar., 2016"	"2016/03"	2812	Not Applicable	Not Applicable
"Total"	"Arkansas"	"05"	"2016"	"2016"			5341	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2017"	"2017"	"Feb., 2017"	"2017/02"	2591	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2017"	"2017"	"Mar., 2017"	"2017/03"	2931	Not Applicable	Not Applicable
"Total"	"Arkansas"	"05"	"2017"	"2017"			5522	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Feb., 2018"	"2018/02"	2678	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Mar., 2018"	"2018/03"	2725	Not Applicable	Not Applicable
"Total"	"Arkansas"	"05"	"2018"	"2018"			5403	Not Applicable	Not Applicable
"Total"	"Arkansas"	"05"					32407	Not Applicable	Not Applicable
	"California"	"06"	"2013"	"2013"	"Feb., 2013"	"2013/02"	22284	Not Applicable	Not Applicable
	"California"	"06"	"2013"	"2013"	"Mar., 2013"	"2013/03"	22412	Not Applicable	Not Applicable
"Total"	"California"	"06"	"2013"	"2013"			44696	Not Applicable	Not Applicable
	"California"	"06"	"2014"	"2014"	"Feb., 2014"	"2014/02"	19920	Not Applicable	Not Applicable
	"California"	"06"	"2014"	"2014"	"Mar., 2014"	"2014/03"	21074	Not Applicable	Not Applicable
"Total"	"California"	"06"	"2014"	"2014"			40994	Not Applicable	Not Applicable
	"California"	"06"	"2015"	"2015"	"Feb., 2015"	"2015/02"	21619	Not Applicable	Not Applicable
	"California"	"06"	"2015"	"2015"	"Mar., 2015"	"2015/03"	22674	Not Applicable	Not Applicable
"Total"	"California"	"06"	"2015"	"2015"			44293	Not Applicable	Not Applicable
	"California"	"06"	"2016"	"2016"	"Feb., 2016"	"2016/02"	22784	Not Applicable	Not Applicable
	"California"	"06"	"2016"	"2016"	"Mar., 2016"	"2016/03"	23614	Not Applicable	Not Applicable
"Total"	"California"	"06"	"2016"	"2016"			46398	Not Applicable	Not Applicable
	"California"	"06"	"2017"	"2017"	"Feb., 2017"	"2017/02"	22388	Not Applicable	Not Applicable
	"California"	"06"	"2017"	"2017"	"Mar., 2017"	"2017/03"	23453	Not Applicable	Not Applicable
"Total"	"California"	"06"	"2017"	"2017"			45841	Not Applicable	Not Applicable
	"California"	"06"	"2018"	"2018"	"Feb., 2018"	"2018/02"	22527	Not Applicable	Not Applicable
	"California"	"06"	"2018"	"2018"	"Mar., 2018"	"2018/03"	24839	Not Applicable	Not Applicable
"Total"	"California"	"06"	"2018"	"2018"			47366	Not Applicable	Not Applicable
"Total"	"California"	"06"					269588	Not Applicable	Not Applicable
	"Colorado"	"08"	"2013"	"2013"	"Feb., 2013"	"2013/02"	2922	Not Applicable	Not Applicable
	"Colorado"	"08"	"2013"	"2013"	"Mar., 2013"	"2013/03"	2899	Not Applicable	Not Applicable
"Total"	"Colorado"	"08"	"2013"	"2013"			5821	Not Applicable	Not Applicable
	"Colorado"	"08"	"2014"	"2014"	"Feb., 2014"	"2014/02"	2781	Not Applicable	Not Applicable
	"Colorado"	"08"	"2014"	"2014"	"Mar., 2014"	"2014/03"	3069	Not Applicable	Not Applicable
"Total"	"Colorado"	"08"	"2014"	"2014"			5850	Not Applicable	Not Applicable
	"Colorado"	"08"	"2015"	"2015"	"Feb., 2015"	"2015/02"	2827	Not Applicable	Not Applicable
	"Colorado"	"08"	"2015"	"2015"	"Mar., 2015"	"2015/03"	3038	Not Applicable	Not Applicable
"Total"	"Colorado"	"08"	"2015"	"2015"			5865	Not Applicable	Not Applicable
	"Colorado"	"08"	"2016"	"2016"	"Feb., 2016"	"2016/02"	3079	Not Applicable	Not Applicable
	"Colorado"	"08"	"2016"	"2016"	"Mar., 2016"	"2016/03"	3418	Not Applicable	Not Applicable
"Total"	"Colorado"	"08"	"2016"	"2016"			6497	Not Applicable	Not Applicable
	"Colorado"	"08"	"2017"	"2017"	"Feb., 2017"	"2017/02"	3194	Not Applicable	Not Applicable
	"Colorado"	"08"	"2017"	"2017"	"Mar., 2017"	"2017/03"	3452	Not Applicable	Not Applicable
"Total"	"Colorado"	"08"	"2017"	"2017"			6646	Not Applicable	Not Applicable
	"Colorado"	"08"	"2018"	"2018"	"Feb., 2018"	"2018/02"	3150	Not Applicable	Not Applicable
	"Colorado"	"08"	"2018"	"2018"	"Mar., 2018"	"2018/03"	3443	Not Applicable	Not Applicable
"Total"	"Colorado"	"08"	"2018"	"2018"			6593	Not Applicable	Not Applicable
"Total"	"Colorado"	"08"					37272	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2013"	"2013"	"Feb., 2013"	"2013/02"	2546	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2013"	"2013"	"Mar., 2013"	"2013/03"	2564	Not Applicable	Not Applicable
"Total"	"Connecticut"	"09"	"2013"	"2013"			5110	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2014"	"2014"	"Feb., 2014"	"2014/02"	2581	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2014"	"2014"	"Mar., 2014"	"2014/03"	2696	Not Applicable	Not Applicable
"Total"	"Connecticut"	"09"	"2014"	"2014"			5277	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2015"	"2015"	"Feb., 2015"	"2015/02"	2698	Not Applicable	Not Applicable
